始発,終着,木古内,札苅,泉沢,釜谷,渡島当別,茂辺地,上磯,清川口,久根別,東久根別,七重浜,五稜郭,函館
上磯,函館,,,,,,,0631,0634,0637,0640,0644,0648,0653
木古内,函館,0624,0629,0635,0639,0646,0652,0703,0706,0709,0712,0717,0721,0727
上磯,函館,,,,,,,0738,0741,0744,0747,0752,0756,0802
木古内,函館,0712,0717,0722,0727,0733,0740,0751,0754,0759,0802,0806,0810,0816
上磯,函館,,,,,,,0828,0830,0833,0836,0840,0844,0850
木古内,函館,0913,0918,0923,0927,0933,0940,0951,0953,0956,0959,1003,1007,1013
上磯,函館,,,,,,,1103,1106,1109,1112,1116,1120,1125
木古内,函館,1116,1121,1126,1131,1137,1143,1154,1157,1200,1202,1207,1211,1217
上磯,函館,,,,,,,1238,1240,1243,1246,1251,1255,1300
木古内,函館,1251,1256,1301,1306,1312,1319,1330,1332,1338,1341,1346,1350,1356
上磯,函館,,,,,,,1436,1438,1441,1444,1448,1452,1457
木古内,函館,1519,1524,1529,1534,1541,1548,1559,1602,1605,1608,1612,1616,1622
木古内,函館,1632,1637,1642,1647,1653,1700,1710,1713,1716,1719,1724,1728,1734
上磯,函館,,,,,,,1808,1811,1814,1817,1821,1825,1831
木古内,函館,1915,1920,1925,1930,1936,1943,1954,1957,2000,2002,2007,2011,2016
木古内,函館,2055,2100,2105,2109,2115,2122,2133,2136,2141,2143,2148,2152,2158
上磯,函館,,,,,,,2157,2200,2203,2206,2210,2214,2220
