始発,終着,函館,五稜郭,七重浜,東久根別,久根別,清川口,上磯,茂辺地,渡島当別,釜谷,泉沢,札苅,木古内
函館,木古内,0650,0656,0701,0705,0709,0711,0715,0726,0733,0740,0744,0749,0754
函館,上磯,0707,0712,0717,0721,0724,0726,0729,,,,,,
函館,上磯,0742,0747,0752,0756,0759,0802,0805,,,,,,
函館,木古内,0855,0900,0905,0909,0912,0914,0917,0940,0947,0953,0958,1003,1008
函館,上磯,0953,0958,1003,1007,1010,1012,1015,,,,,,
函館,木古内,1034,1039,1044,1048,1051,1053,1056,1108,1115,1122,1126,1131,1137
函館,上磯,1157,1203,1207,1211,1214,1217,1220,,,,,,
函館,木古内,1336,1341,1346,1350,1353,1355,1358,1409,1415,1422,1426,1431,1436
函館,上磯,1406,1411,1416,1420,1423,1425,1428,,,,,,
函館,木古内,1515,1521,1525,1529,1532,1535,1537,1548,1555,1602,1609,1614,1619
函館,木古内,1624,1630,1635,1639,1643,1646,1649,1700,1706,1713,1717,1722,1728
函館,上磯,1714,1720,1724,1728,1731,1734,1737,,,,,,
函館,木古内,1744,1749,1754,1759,1802,1805,1808,1824,1831,1831,1837,1847,1853
函館,上磯,1832,1837,1846,1850,1853,1856,1859,,,,,,
函館,上磯,1919,1925,1929,1933,1936,1938,1941,,,,,,
函館,木古内,1943,1948,1953,1957,2000,2002,2007,2019,2026,2032,2037,2041,2046
函館,上磯,2033,2038,2043,2047,2050,2052,2055,,,,,,
函館,上磯,2121,2126,2134,2138,2141,2143,2146,,,,,,
函館,木古内,2200,2205,2210,2214,2217,2219,2222,2233,2239,2246,2250,2255,2300
