始発,終着,粟生,網引,田原,法華口,播磨下里,長,播磨横田,北条町
粟生,北条町,0608,0612,0615,0618,0622,0625,0628,0631
粟生,北条町,0721,0725,0728,0731,0735,0738,0741,0744
粟生,北条町,0846,0850,0853,0856,0900,0903,0906,0909
粟生,北条町,1006,1010,1013,1016,1020,1023,1026,1029
粟生,北条町,1109,1113,1116,1119,1123,1126,1129,1132
粟生,北条町,1209,1213,1216,1219,1223,1226,1229,1232
粟生,北条町,1309,1313,1316,1319,1323,1326,1329,1332
粟生,北条町,1409,1413,1416,1419,1423,1426,1429,1432
粟生,北条町,1509,1513,1516,1519,1523,1526,1529,1532
粟生,北条町,1609,1613,1616,1619,1623,1626,1629,1632
粟生,北条町,1709,1713,1716,1719,1723,1726,1729,1732
粟生,北条町,1815,1819,1822,1825,1829,1832,1835,1838
粟生,北条町,1921,1925,1928,1931,1935,1938,1941,1944
粟生,北条町,2022,2026,2029,2032,2036,2039,2042,2045
粟生,北条町,2117,2121,2124,2127,2131,2134,2137,2140
粟生,北条町,2211,2215,2218,2221,2225,2228,2231,2234
粟生,北条町,2314,2318,2321,2324,2328,2331,2334,2337
