始発,終着,粟生,網引,田原,法華口,播磨下里,長,播磨横田,北条町
粟生,北条町,0609,0613,0616,0619,0623,0626,0629,0632
粟生,北条町,0640,0644,0647,0650,0654,0657,0700,0703
粟生,北条町,0714,0718,0721,0724,0728,0731,0734,0737
粟生,北条町,0746,0750,0753,0756,0800,0803,0806,0809
粟生,北条町,0827,0831,0834,0837,0841,0844,0847,0850
粟生,北条町,0852,0856,0859,0902,0906,0909,0912,0915
粟生,北条町,1009,1013,1016,1019,1023,1026,1029,1032
粟生,北条町,1109,1113,1116,1119,1123,1126,1129,1132
粟生,北条町,1209,1213,1216,1219,1223,1226,1229,1232
粟生,北条町,1309,1313,1316,1319,1323,1326,1329,1332
粟生,北条町,1409,1413,1416,1419,1423,1426,1429,1432
粟生,北条町,1509,1513,1516,1519,1523,1526,1529,1532
粟生,北条町,1609,1613,1616,1619,1623,1626,1629,1632
粟生,北条町,1709,1713,1716,1719,1723,1726,1729,1732
粟生,北条町,1815,1819,1822,1825,1829,1832,1835,1838
粟生,北条町,1855,1859,1902,1905,1909,1912,1915,1918
粟生,北条町,1921,1925,1928,1931,1935,1938,1941,1944
粟生,北条町,2018,2022,2025,2028,2032,2035,2038,2041
粟生,北条町,2115,2119,2122,2125,2129,2132,2135,2138
粟生,北条町,2211,2215,2218,2221,2225,2228,2231,2234
粟生,北条町,2314,2318,2321,2324,2328,2331,2334,2337
