始発,終着,北条町,播磨横田,長,播磨下里,法華口,田原,網引,粟生
北条町,粟生,0539,0542,0545,0548,0552,0554,0557,0602
北条町,粟生,0651,0654,0657,0700,0704,0706,0709,0714
北条町,粟生,0748,0751,0754,0757,0801,0803,0806,0811
北条町,粟生,0934,0937,0940,0943,0947,0949,0952,0957
北条町,粟生,1039,1042,1045,1048,1052,1054,1057,1102
北条町,粟生,1139,1142,1145,1148,1152,1154,1157,1202
北条町,粟生,1239,1242,1245,1248,1252,1254,1257,1302
北条町,粟生,1339,1342,1345,1348,1352,1354,1357,1402
北条町,粟生,1439,1442,1445,1448,1452,1454,1457,1502
北条町,粟生,1539,1542,1545,1548,1552,1554,1557,1602
北条町,粟生,1639,1642,1645,1648,1652,1654,1657,1702
北条町,粟生,1745,1748,1751,1754,1758,1800,1803,1808
北条町,粟生,1850,1853,1856,1859,1903,1905,1908,1913
北条町,粟生,1952,1955,1958,2001,2005,2007,2010,2015
北条町,粟生,2049,2052,2055,2058,2102,2104,2107,2112
北条町,粟生,2144,2147,2150,2153,2157,2159,2202,2207
北条町,粟生,2247,2250,2253,2256,2300,2302,2305,2310
