始発,終着,北千住,綾瀬,亀有,金町,松戸,北松戸,馬橋,新松戸,北小金,南柏,柏,北柏,我孫子
綾瀬,我孫子,,0601,0603,0606,0610,0612,0614,0617,0619,0622,0625,0627,0630
代々木上原,我孫子,0650,0654,0657,0659,0703,0706,0708,0710,0712,0715,0718,0721,0723
本厚木,我孫子,0758,0803,0805,0808,0812,0814,0816,0819,0821,0823,0827,0830,0833
本厚木,我孫子,1016,1020,1022,1025,1029,1032,1034,1036,1038,1041,1044,1047,1049
向ヶ丘遊園,我孫子,1336,1340,1342,1345,1349,1352,1354,1356,1358,1401,1404,1407,1410
代々木上原,柏,1641,1646,1648,1651,1655,1657,1659,1702,1704,1706,1710,,
向ヶ丘遊園,我孫子,1656,1700,1702,1705,1708,1711,1713,1715,1717,1720,1723,1726,1729
代々木上原,我孫子,1921,1928,1930,1933,1937,1940,1942,1944,1946,1949,1953,1956,1958
代々木上原,我孫子,1946,1952,1954,1957,2002,2005,2007,2009,2011,2014,2018,2021,2024
本厚木,我孫子,2217,2222,2224,2227,2230,2233,2235,2237,2239,2242,2245,2248,2251
