始発,終着,北千住,綾瀬,亀有,金町,松戸,北松戸,馬橋,新松戸,北小金,南柏,柏,北柏,我孫子
綾瀬,我孫子,,0611,0613,0616,0621,0623,0625,0628,0630,0633,0636,0638,0642
本厚木,我孫子,0707,0711,0714,0716,0721,0724,0726,0729,0731,0734,0737,0739,0742
本厚木,我孫子,0737,0743,0745,0748,0753,0756,0758,0800,0802,0805,0808,0811,0813
成城学園前,松戸,0746,0750,0753,0755,0800,,,,,,,,
向ヶ丘遊園,我孫子,0820,0825,0827,0830,0835,0837,0839,0842,0844,0847,0850,0852,0856
相模大野,我孫子,0828,0832,0835,0837,0842,0845,0847,0849,0851,0854,0857,0900,0903
海老名,我孫子,0847,0851,0854,0856,0900,0902,0904,0907,0909,0912,0915,0917,0920
本厚木,松戸,0919,0923,0926,0928,0933,,,,,,,,
代々木上原,我孫子,1701,1705,1708,1711,1715,1717,1719,1722,1724,1727,1731,1734,1737
代々木上原,取手,1803,1808,1810,1813,1817,1820,1822,1825,1827,1830,1833,1836,1838
代々木上原,我孫子,1901,1906,1909,1912,1917,1920,1922,1925,1927,1930,1935,1938,1941
代々木上原,我孫子,1917,1922,1925,1927,1933,1935,1937,1940,1942,1945,1948,1951,1954
代々木上原,我孫子,1943,1947,1950,1953,1957,1959,2001,2004,2006,2009,2012,2015,2018
向ヶ丘遊園,我孫子,2009,2016,2018,2021,2025,2027,2029,2032,2034,2037,2040,2042,2046
代々木上原,我孫子,2204,2208,2210,2213,2217,2219,2221,2224,2226,2228,2231,2234,2237
