始発,終着,我孫子,北柏,柏,南柏,北小金,新松戸,馬橋,北松戸,松戸,金町,亀有,綾瀬,北千住
我孫子,代々木上原,0452,0455,0458,0501,0504,0506,0508,0510,0513,0517,0519,0523,0526
我孫子,相模大野,0635,0638,0641,0644,0647,0649,0651,0653,0658,0701,0704,0709,0713
我孫子,成城学園前,0733,0736,0739,0742,0745,0747,0749,0751,0754,0758,0800,0804,0808
我孫子,成城学園前,0843,0846,0849,0852,0855,0857,0859,0901,0904,0908,0910,0915,0919
我孫子,向ヶ丘遊園,1056,1059,1102,1105,1108,1110,1112,1114,1118,1121,1124,1127,1131
我孫子,向ヶ丘遊園,1416,1419,1422,1425,1428,1430,1432,1434,1438,1441,1444,1447,1451
柏,代々木上原,,,1727,1730,1733,1735,1737,1739,1742,1746,1748,1751,1755
我孫子,成城学園前,1735,1738,1741,1744,1746,1749,1751,1753,1757,1800,1803,1806,1810
我孫子,伊勢原,2012,2015,2019,2022,2024,2027,2029,2031,2034,2037,2040,2046,2050
我孫子,伊勢原,2035,2038,2041,2044,2047,2049,2051,2053,2058,2102,2104,2107,2111
