始発,終着,大鰐,宿川原,鯖石,石川プール前,石川,義塾高校前,津軽大沢,松木平,小栗山,千年,聖愛中高前,弘前学院大前,弘高下,中央弘前
大鰐,中央弘前,0650,0652,0655,0657,0700,0703,0707,0711,0713,0715,0718,0720,0722,0725
大鰐,中央弘前,0720,0722,0725,0727,0730,0733,0736,0739,0742,0743,0746,0748,0751,0753
大鰐,中央弘前,0745,0747,0750,0752,0755,0758,0801,0804,0807,0810,0813,0815,0817,0820
大鰐,中央弘前,0825,0827,0830,0832,0835,0838,0847,0851,0853,0855,0858,0900,0902,0905
大鰐,中央弘前,0930,0932,0935,0937,0940,0943,0947,0951,0953,0955,0958,1000,1002,1005
大鰐,中央弘前,1030,1032,1035,1037,1040,1043,1047,1051,1053,1055,1058,1100,1102,1105
大鰐,中央弘前,1130,1132,1135,1137,1140,1143,1147,1151,1153,1155,1158,1200,1202,1205
大鰐,中央弘前,1230,1232,1235,1237,1240,1243,1247,1251,1253,1255,1258,1300,1302,1305
大鰐,中央弘前,1330,1332,1335,1337,1340,1343,1347,1351,1353,1355,1358,1400,1402,1405
大鰐,中央弘前,1430,1432,1435,1437,1440,1443,1447,1451,1453,1455,1458,1500,1502,1505
大鰐,中央弘前,1530,1532,1535,1537,1540,1543,1547,1551,1553,1555,1558,1600,1602,1605
大鰐,中央弘前,1630,1632,1635,1637,1640,1643,1647,1651,1653,1655,1658,1700,1702,1705
大鰐,中央弘前,1730,1732,1735,1737,1740,1743,1747,1751,1753,1755,1758,1800,1802,1805
大鰐,中央弘前,1830,1832,1835,1837,1840,1843,1847,1851,1853,1855,1858,1900,1902,1905
大鰐,中央弘前,1930,1932,1935,1937,1940,1943,1947,1951,1953,1955,1958,2000,2002,2005
大鰐,中央弘前,2030,2032,2035,2037,2040,2043,2047,2051,2053,2055,2058,2100,2102,2105
大鰐,中央弘前,2130,2132,2135,2137,2140,2143,2147,2151,2153,2155,2158,2200,2202,2205
