始発,終着,中央弘前,弘高下,弘前学院大前,聖愛中高前,千年,小栗山,松木平,津軽大沢,義塾高校前,石川,石川プール前,鯖石,宿川原,大鰐
中央弘前,大鰐,0650,0652,0655,0657,0700,0702,0704,0715,0717,0720,0723,0725,0728,0731
中央弘前,大鰐,0743,0745,0748,0750,0753,0755,0757,0801,0803,0806,0809,0811,0814,0817
中央弘前,大鰐,0800,0802,0805,0807,0810,0812,0814,0818,0820,0823,0826,0830,0832,0835
中央弘前,大鰐,0830,0832,0835,0837,0840,0842,0844,0848,0850,0853,0856,0858,0901,0904
中央弘前,大鰐,0930,0932,0935,0937,0940,0942,0944,0948,0950,0953,0956,0958,1001,1004
中央弘前,大鰐,1030,1032,1035,1037,1040,1042,1044,1048,1050,1053,1056,1058,1101,1104
中央弘前,大鰐,1130,1132,1135,1137,1140,1142,1144,1148,1150,1153,1156,1158,1201,1204
中央弘前,大鰐,1230,1232,1235,1237,1240,1242,1244,1248,1250,1253,1256,1258,1301,1304
中央弘前,大鰐,1330,1332,1335,1337,1340,1342,1344,1348,1350,1353,1356,1358,1401,1404
中央弘前,大鰐,1430,1432,1435,1437,1440,1442,1444,1448,1450,1453,1456,1458,1501,1504
中央弘前,大鰐,1530,1532,1535,1537,1540,1542,1544,1548,1550,1553,1556,1558,1601,1604
中央弘前,大鰐,1630,1632,1635,1637,1640,1642,1644,1648,1650,1653,1656,1658,1701,1704
中央弘前,大鰐,1730,1732,1735,1737,1740,1742,1744,1748,1750,1753,1756,1758,1801,1804
中央弘前,大鰐,1830,1832,1835,1837,1840,1842,1844,1848,1850,1853,1856,1858,1901,1904
中央弘前,大鰐,1930,1932,1935,1937,1940,1942,1944,1948,1950,1953,1956,1958,2001,2004
中央弘前,大鰐,2030,2032,2035,2037,2040,2042,2044,2048,2050,2053,2056,2058,2101,2104
中央弘前,大鰐,2130,2132,2135,2137,2140,2142,2144,2148,2150,2153,2156,2158,2201,2204
